,HEADLINE_CPI_USA,CREDIT_SPRD_Baa_Aaa,IRSTCI_USA,SPREAD_10Y3M_USA,SPREAD_10Y2Y_USA,Div_Yield
2002-01,1.142204,1.3228571428571427,1.73,3.3,2.0119047619047623, 1.38%
2002-02,1.137656,1.3821052631578947,1.74,3.09,1.8947368421052633, 1.43%
2002-03,1.475596,1.2955,1.73,3.37,1.7225000000000001, 1.36%
2002-04,1.639344,1.2713636363636363,1.75,3.34,1.7872727272727276, 1.42%
2002-05,1.181767,1.3345454545454545,1.75,3.34,1.895909090909091, 1.48%
2002-06,1.067416,1.3219999999999998,1.75,3.1199999999999997,1.9369999999999998, 1.58%
2002-07,1.464789,1.3640909090909088,1.73,2.8600000000000003,2.0931818181818187, 1.77%
2002-08,1.802817,1.2168181818181822,1.74,2.53,2.1263636363636365, 1.74%
2002-09,1.514302,1.2414999999999998,1.75,2.1100000000000003,1.8655000000000004, 1.82%
2002-10,2.025886,1.4118181818181816,1.75,2.21,2.0281818181818183, 1.86%
2002-11,2.198422,1.3110526315789475,1.34,2.66,2.126842105263158, 1.76%
2002-12,2.8,1.234285714285714,1.24,2.6900000000000004,2.1938095238095237, 1.79%
2003-01,2.4,1.1742857142857144,1.24,2.76,2.3066666666666666, 1.80%
2003-02,3.1,1.1057894736842107,1.26,2.63,2.2721052631578944, 1.93%
2003-03,3.2,1.0628571428571432,1.25,2.58,2.236190476190476, 1.92%
2003-04,2.3,1.108095238095238,1.26,2.7199999999999998,2.3376190476190475, 1.82%
2003-05,2.0,1.1604761904761907,1.26,2.3499999999999996,2.1547619047619047, 1.73%
2003-06,2.1,1.224761904761905,1.22,2.29,2.102857142857143, 1.64%
2003-07,2.1,1.1240909090909095,1.01,2.9299999999999997,2.505909090909091, 1.64%
2003-08,2.2,1.1323809523809523,1.03,3.37,2.585714285714286, 1.66%
2003-09,2.4,1.0738095238095235,1.01,3.1899999999999995,2.5638095238095238, 1.63%
2003-10,2.0,1.0349999999999997,1.01,3.19,2.542272727272727, 1.62%
2003-11,1.7,1.0094444444444444,1.0,3.1899999999999995,2.373333333333333, 1.63%
2003-12,1.8,0.9768181818181818,0.98,3.1699999999999995,2.3627272727272723, 1.61%
2004-01,2.0,0.9060000000000001,1.0,3.0900000000000003,2.3890000000000002, 1.55%
2004-02,1.6,0.7647368421052629,1.01,3.0300000000000002,2.34, 1.56%
2004-03,1.5,0.7886956521739128,1.0,2.7800000000000002,2.252173913043478, 1.60%
2004-04,2.1,0.7280952380952379,1.0,3.2699999999999996,2.2790476190476188, 1.61%
2004-05,3.1,0.7094999999999998,1.0,3.5199999999999996,2.1864999999999997, 1.67%
2004-06,3.4,0.7690476190476188,1.03,3.2700000000000005,1.9666666666666672, 1.64%
2004-07,3.0,0.7995238095238093,1.26,2.9299999999999997,1.8614285714285717, 1.70%
2004-08,2.6,0.8149999999999997,1.43,2.6000000000000005,1.771818181818182, 1.74%
2004-09,2.4,0.8095238095238095,1.61,2.2699999999999996,1.6047619047619044, 1.71%
2004-10,3.4,0.7369999999999997,1.76,2.0599999999999996,1.5154999999999998, 1.72%
2004-11,3.9,0.6875,1.93,1.9300000000000006,1.3380000000000005, 1.66%
2004-12,3.5,0.6840909090909091,2.16,1.7800000000000002,1.2181818181818183, 1.62%
2005-01,3.1,0.6600000000000001,2.28,1.6099999999999999,0.9974999999999996, 1.67%
2005-02,3.0,0.6163157894736839,2.5,1.4,0.7852631578947364, 1.66%
2005-03,3.2,0.6590909090909091,2.63,1.5299999999999998,0.7731818181818184, 1.69%
2005-04,3.8,0.7219047619047616,2.79,1.25,0.6861904761904758, 1.76%
2005-05,3.0,0.8538095238095238,3.0,0.9199999999999995,0.49619047619047585, 1.76%
2005-06,2.6,0.8981818181818183,3.04,0.6200000000000001,0.3595454545454544, 1.74%
2005-07,3.4,0.8955,3.26,0.6099999999999999,0.3089999999999997, 1.73%
2005-08,4.1,0.867391304347826,3.5,0.48999999999999977,0.21565217391304348, 1.74%
2005-09,5.7,0.902857142857143,3.62,0.33000000000000007,0.2538095238095237, 1.75%
2005-10,5.1,0.9530000000000003,3.78,0.33000000000000007,0.18900000000000006, 1.82%
2005-11,3.8,0.9749999999999999,4.0,0.23000000000000043,0.12349999999999994, 1.78%
2005-12,3.7,0.9514285714285714,4.16,0.019999999999999574,0.06571428571428584, 1.76%
2006-01,4.5,0.9425000000000001,4.29,-0.13999999999999968,0.024499999999999744, 1.75%
2006-02,4.0,0.9221052631578947,4.49,-0.14999999999999947,-0.09842105263157919, 1.77%
2006-03,3.7,0.8860869565217392,4.59,-0.16000000000000014,-0.013913043478260612, 1.76%
2006-04,3.8,0.838421052631579,4.79,-0.040000000000000036,0.1010526315789475, 1.77%
2006-05,4.4,0.794090909090909,4.94,-0.040000000000000036,0.1418181818181825, 1.80%
2006-06,4.6,0.8881818181818179,4.99,-0.23999999999999932,-0.011818181818181728, 1.87%
2006-07,4.4,0.9120000000000001,5.24,-0.3700000000000001,-0.028500000000000192, 1.88%
2006-08,3.9,0.9052173913043476,5.25,-0.5,-0.02347826086956495, 1.85%
2006-09,1.4,0.9209999999999998,5.25,-0.6200000000000001,-0.04900000000000038, 1.83%
2006-10,0.4,0.9142857142857141,5.25,-0.5999999999999996,-0.06571428571428495, 1.79%
2006-11,1.2,0.8728571428571429,5.25,-0.7200000000000006,-0.14047619047619087, 1.77%
2006-12,2.0,0.8959999999999999,5.24,-0.7600000000000007,-0.11350000000000016, 1.76%
2007-01,1.4,0.9409523809523809,5.25,-0.5600000000000005,-0.11619047619047684, 1.76%
2007-02,1.8,0.8889473684210528,5.26,-0.5899999999999999,-0.12894736842105292, 1.75%
2007-03,2.4,0.9640909090909091,5.26,-0.7400000000000002,-0.013636363636364557, 1.81%
2007-04,2.2,0.926190476190476,5.25,-0.6199999999999992,0.023809523809524613, 1.76%
2007-05,2.4,0.910909090909091,5.25,-0.5599999999999996,-0.01636363636363658, 1.72%
2007-06,2.4,0.9023809523809526,5.25,-0.23000000000000043,0.11952380952380892, 1.73%
2007-07,2.0,0.9195238095238095,5.26,-0.3200000000000003,0.1809523809523812, 1.74%
2007-08,1.5,0.864782608695652,5.02,-0.8200000000000003,0.3569565217391304, 1.84%
2007-09,2.6,0.854736842105263,4.94,-0.9400000000000004,0.5084210526315784, 1.80%
2007-10,3.7,0.8186363636363636,4.76,-0.5499999999999998,0.562272727272727, 1.77%
2007-11,4.8,0.9595,4.49,-0.8199999999999994,0.8135000000000003, 1.88%
2007-12,4.5,1.1535,4.24,-0.9199999999999999,0.9829999999999997, 1.87%
2008-01,4.8,1.2095238095238094,3.94,-0.09999999999999964,1.2642857142857142, 2.03%
2008-02,4.5,1.2965,2.98,0.6800000000000002,1.7670000000000001, 2.07%
2008-03,4.4,1.3865000000000003,2.61,0.7199999999999998,1.8929999999999996, 2.15%
2008-04,4.5,1.4145454545454546,2.28,0.8300000000000001,1.6327272727272728, 2.08%
2008-05,4.8,1.3557142857142859,1.98,1.2199999999999998,1.4342857142857142, 2.04%
2008-06,6.0,1.3976190476190475,2.0,1.3399999999999999,1.326190476190476, 2.14%
2008-07,6.8,1.4940909090909091,2.01,1.2199999999999998,1.4368181818181816, 2.29%
2008-08,6.5,1.5123809523809522,2.0,1.1,1.46952380952381, 2.25%
2008-09,5.9,1.6590476190476193,1.81,0.10000000000000009,1.6138095238095236, 2.37%
2008-10,4.2,2.595909090909091,0.97,-0.5100000000000002,2.1977272727272728, 2.96%
2008-11,0.8,3.087222222222222,0.39,1.17,2.317222222222222, 3.23%
2008-12,-0.5,3.384545454545455,0.16,0.6499999999999999,1.5990909090909091, 3.23%
2009-01,-0.5,3.0949999999999998,0.15,1.5,1.713, 3.24%
2009-02,-0.2,2.818421052631579,0.22,1.7100000000000002,1.8947368421052633, 3.43%
2009-03,-1.0,2.9240909090909097,0.18,1.7499999999999998,1.8886363636363632, 3.60%
2009-04,-1.5,2.998571428571428,0.15,2.04,2.002857142857143, 3.15%
2009-05,-2.2,2.5235000000000003,0.18,2.72,2.3605, 2.90%
2009-06,-2.3,1.8890909090909092,0.21,3.33,2.535909090909091, 2.76%
2009-07,-3.1,1.675909090909091,0.16,3.21,2.540909090909091, 2.67%
2009-08,-2.3,1.318095238095238,0.16,3.29,2.4747619047619045, 2.42%
2009-09,-2.0,1.1861904761904765,0.15,3.15,2.4438095238095237, 2.29%
2009-10,-0.5,1.146666666666667,0.12,3.1500000000000004,2.440952380952381, 2.19%
2009-11,2.4,1.1336842105263158,0.12,3.19,2.596842105263158, 2.10%
2009-12,3.6,1.105909090909091,0.12,3.3699999999999997,2.7154545454545453, 2.02%
2010-01,3.6,0.9836842105263159,0.11,3.53,2.8010526315789477, 1.98%
2010-02,3.1,0.993684210526316,0.13,3.5,2.833157894736842, 2.03%
2010-03,3.4,1.0047826086956522,0.16,3.5,2.771304347826087, 1.90%
2010-04,3.4,0.9686363636363635,0.2,3.5500000000000003,2.7895454545454546, 1.83%
2010-05,3.1,1.0874999999999997,0.2,2.9699999999999998,2.5895, 1.95%
2010-06,1.8,1.3477272727272727,0.18,2.68,2.4754545454545456, 2.03%
2010-07,2.0,1.2871428571428574,0.18,2.5999999999999996,2.393333333333333, 2.05%
2010-08,1.9,1.172272727272727,0.19,2.3800000000000003,2.1795454545454547, 2.05%
2010-09,1.8,1.1314285714285715,0.19,2.37,2.17, 1.99%
2010-10,1.8,1.0375,0.19,2.27,2.164, 1.92%
2010-11,1.5,1.048,0.19,2.4899999999999998,2.3059999999999996, 1.89%
2010-12,1.9,1.081363636363636,0.18,2.99,2.671818181818182, 1.83%
2011-01,2.0,1.0474999999999999,0.17,3.1,2.7755, 1.79%
2011-02,2.6,0.9242105263157896,0.16,3.3,2.8073684210526317, 1.76%
2011-03,3.3,0.9052173913043475,0.14,3.13,2.712608695652174, 1.80%
2011-04,3.9,0.8655000000000002,0.1,3.23,2.7255000000000003, 1.78%
2011-05,4.4,0.8176190476190472,0.09,2.96,2.6147619047619046, 1.80%
2011-06,4.4,0.7622727272727277,0.09,2.78,2.589545454545455, 1.89%
2011-07,4.4,0.8284999999999998,0.07,2.76,2.5935, 1.86%
2011-08,4.6,0.9960869565217387,0.1,2.01,2.069565217391304, 2.10%
2011-09,4.7,1.1842857142857146,0.08,1.65,1.7685714285714285, 2.15%
2011-10,4.2,1.3925,0.07,1.7799999999999998,1.8695, 2.12%
2011-11,4.0,1.2655000000000003,0.08,1.5999999999999999,1.7564999999999997, 2.12%
2011-12,3.4,1.3233333333333333,0.07,1.49,1.7228571428571429, 2.13%
2012-01,3.3,1.3784999999999994,0.08,1.5699999999999998,1.7295, 2.06%
2012-02,3.2,1.2955,0.1,1.67,1.692, 2.00%
2012-03,2.8,1.2459090909090909,0.13,1.88,1.8254545454545454, 1.97%
2012-04,2.3,1.2323809523809521,0.14,1.7599999999999998,1.758095238095238, 2.00%
2012-05,1.5,1.2672727272727273,0.16,1.51,1.5150000000000001, 2.09%
2012-06,1.5,1.3804761904761906,0.16,1.3,1.3280952380952382, 2.14%
2012-07,1.4,1.4766666666666666,0.16,1.23,1.2819047619047619, 2.11%
2012-08,1.6,1.4321739130434783,0.13,1.42,1.411304347826087, 2.08%
2012-09,2.0,1.3563157894736841,0.14,1.48,1.4647368421052631, 2.05%
2012-10,2.2,1.119047619047619,0.16,1.52,1.4728571428571429, 2.10%
2012-11,1.7,1.0115,0.16,1.42,1.382, 2.20%
2012-12,1.7,0.9770000000000003,0.16,1.48,1.463, 2.20%
2013-01,1.5,0.9366666666666668,0.14,1.68,1.6447619047619046, 2.13%
2013-02,2.0,0.9500000000000004,0.15,1.76,1.7126315789473683, 2.10%
2013-03,1.4,0.9219999999999997,0.14,1.75,1.704, 2.07%
2013-04,0.8,0.8577272727272724,0.15,1.56,1.5277272727272728, 2.07%
2013-05,1.2,0.8327272727272725,0.11,1.73,1.6795454545454545, 2.01%
2013-06,1.7,0.9204999999999997,0.09,2.11,1.9665, 2.06%
2013-07,1.8,0.9786363636363635,0.09,2.44,2.2390909090909092, 2.02%
2013-08,1.3,0.8822727272727275,0.08,2.62,2.3836363636363638, 2.04%
2013-09,0.8,0.8254999999999997,0.08,2.7,2.406, 2.04%
2013-10,0.5,0.7804545454545457,0.09,2.5,2.2845454545454547, 2.01%
2013-11,0.9,0.7536842105263157,0.08,2.6,2.4163157894736846, 1.95%
2013-12,1.2,0.7619047619047619,0.09,2.76,2.56, 1.94%
2014-01,1.3,0.7052380952380954,0.07,2.7399999999999998,2.466190476190476, 1.94%
2014-02,0.7,0.6499999999999995,0.07,2.58,2.383157894736842, 1.97%
2014-03,1.2,0.6814285714285713,0.08,2.6,2.320952380952381, 1.94%
2014-04,1.8,0.6638095238095238,0.09,2.59,2.2928571428571427, 1.96%
2014-05,2.0,0.6009523809523811,0.09,2.45,2.170952380952381, 1.96%
2014-06,1.9,0.5490476190476192,0.1,2.49,2.1476190476190475, 1.92%
2014-07,1.8,0.5727272727272728,0.09,2.41,2.0336363636363637, 1.91%
2014-08,1.4,0.6147619047619048,0.09,2.29,1.9476190476190476, 1.94%
2014-09,1.4,0.6904761904761902,0.09,2.4099999999999997,1.9633333333333332, 1.93%
2014-10,1.3,0.7727272727272725,0.09,2.1799999999999997,1.8545454545454543, 2.00%
2014-11,0.9,0.8633333333333337,0.09,2.2,1.8027777777777778, 1.91%
2014-12,0.2,0.9490909090909094,0.12,2.06,1.5745454545454545, 1.92%
2015-01,-0.9,0.9909999999999999,0.11,1.72,1.3284999999999998, 1.97%
2015-02,-0.9,0.9005263157894738,0.11,1.83,1.3610526315789473, 1.94%
2015-03,-0.9,0.8995454545454546,0.11,1.9,1.3995454545454544, 1.96%
2015-04,-1.1,0.9613636363636362,0.12,1.81,1.4, 1.96%
2015-05,-0.9,0.9074999999999998,0.12,2.0500000000000003,1.5910000000000002, 1.96%
2015-06,-0.8,0.9345454545454543,0.13,2.1799999999999997,1.6713636363636364, 1.99%
2015-07,-0.7,1.0509090909090906,0.13,2.13,1.6522727272727271, 2.01%
2015-08,-0.7,1.1523809523809523,0.14,1.91,1.4723809523809523, 2.07%
2015-09,-1.0,1.2723809523809524,0.14,1.9,1.4566666666666666, 2.19%
2015-10,-0.8,1.3895238095238094,0.12,1.8199999999999998,1.425238095238095, 2.11%
2015-11,-0.3,1.4021052631578945,0.12,1.9599999999999997,1.3752631578947367, 2.07%
2015-12,0.0,1.4845454545454548,0.24,1.7000000000000002,1.2572727272727273, 2.11%
2016-01,0.8,1.4463157894736847,0.34,1.52,1.1905263157894734, 2.27%
2016-02,0.3,1.3825000000000003,0.38,1.24,1.0465, 2.30%
2016-03,0.1,1.3131818181818178,0.36,1.3399999999999999,1.015, 2.17%
2016-04,0.5,1.169047619047619,0.37,1.26,1.0419047619047621, 2.12%
2016-05,0.3,1.0266666666666666,0.37,1.2400000000000002,0.9938095238095238, 2.14%
2016-06,0.2,1.0277272727272726,0.38,1.0899999999999999,0.9086363636363636, 2.13%
2016-07,0.0,0.9340000000000002,0.39,0.88,0.8275, 2.08%
2016-08,0.3,0.9247826086956519,0.4,0.8300000000000001,0.822608695652174, 2.07%
2016-09,0.8,0.8980952380952385,0.4,0.8799999999999999,0.8590476190476188, 2.09%
2016-10,1.0,0.8655000000000002,0.4,1.04,0.917, 2.11%
2016-11,1.1,0.8454999999999999,0.41,1.4300000000000002,1.1605, 2.10%
2016-12,1.6,0.7719047619047619,0.54,1.62,1.2933333333333337, 2.03%
2017-01,2.1,0.7390000000000001,0.65,1.5300000000000002,1.2235000000000003, 2.02%
2017-02,2.5,0.689473684210526,0.66,1.5499999999999998,1.2189473684210526, 1.98%
2017-03,2.0,0.675217391304348,0.79,1.5,1.1669565217391304, 1.96%
2017-04,1.8,0.7015789473684211,0.9,1.2699999999999998,1.0589473684210526, 1.98%
2017-05,1.4,0.6981818181818182,0.91,1.2499999999999998,0.9981818181818181, 1.96%
2017-06,1.1,0.6913636363636362,1.04,1.03,0.8477272727272727, 1.94%
2017-07,1.3,0.6915,1.15,1.0999999999999999,0.9474999999999998, 1.94%
2017-08,1.5,0.6756521739130437,1.16,0.96,0.874782608695652, 1.95%
2017-09,1.9,0.6740000000000002,1.15,0.9500000000000002,0.8155000000000001, 1.93%
2017-10,1.7,0.7195238095238095,1.15,1.0999999999999999,0.8104761904761904, 1.89%
2017-11,1.9,0.6924999999999997,1.16,1.03,0.6533333333333333, 1.88%
2017-12,1.8,0.7160000000000002,1.3,0.8599999999999999,0.5559999999999998, 1.84%
2018-01,1.7,0.7085714285714285,1.41,0.9500000000000002,0.5480952380952382, 1.77%
2018-02,1.9,0.6847368421052631,1.42,1.0799999999999998,0.6847368421052633, 1.84%
2018-03,2.1,0.7742857142857142,1.51,0.7599999999999998,0.5642857142857141, 1.85%
2018-04,2.2,0.8228571428571432,1.69,0.6699999999999999,0.48571428571428577, 1.90%
2018-05,2.6,0.8304545454545453,1.7,0.8199999999999998,0.46818181818181825, 1.88%
2018-06,2.7,0.8795238095238094,1.82,0.7200000000000002,0.3766666666666665, 1.85%
2018-07,2.8,0.9171428571428573,1.91,0.7200000000000002,0.2833333333333332, 1.84%
2018-08,2.5,0.881304347826087,1.91,0.7000000000000002,0.2543478260869567, 1.82%
2018-09,2.0,0.906842105263158,1.95,0.7599999999999998,0.23210526315789437, 1.80%
2018-10,2.3,0.9222727272727271,2.19,0.7799999999999998,0.28909090909090907, 1.90%
2018-11,1.8,1.0075000000000003,2.2,0.56,0.2610000000000001, 1.96%
2018-12,1.5,1.118421052631579,2.27,0.14000000000000012,0.15368421052631565, 2.09%
2019-01,1.1,1.1909523809523812,2.4,0.1200000000000001,0.16666666666666696, 2.08%
2019-02,1.0,1.1573684210526316,2.4,0.18999999999999995,0.17578947368421094, 1.98%
2019-03,1.4,1.0619047619047621,2.41,0.08999999999999986,0.16047619047619044, 1.96%
2019-04,1.6,1.0085714285714287,2.42,0.05999999999999961,0.18523809523809476, 1.90%
2019-05,1.3,0.9540909090909093,2.39,-0.040000000000000036,0.19363636363636338, 1.95%
2019-06,1.1,1.0394999999999999,2.38,-0.22999999999999998,0.2559999999999998, 1.94%
2019-07,1.4,0.9859090909090911,2.4,-0.16000000000000014,0.22499999999999987, 1.88%
2019-08,1.3,0.896363636363636,2.13,-0.43000000000000016,0.0586363636363636, 1.96%
2019-09,1.2,0.8824999999999998,2.04,-0.32999999999999985,0.051999999999999824, 1.92%
2019-10,1.3,0.916818181818182,1.83,-0.16999999999999993,0.15863636363636346, 1.93%
2019-11,1.7,0.8836842105263161,1.55,0.040000000000000036,0.19736842105263164, 1.86%
2019-12,2.0,0.8714285714285712,1.55,0.10000000000000009,0.2466666666666666, 1.83%
2020-01,2.2,0.8309523809523811,1.55,0.1100000000000001,0.2409523809523808, 1.79%
2020-02,2.1,0.8321052631578949,1.58,-0.09000000000000008,0.16894736842105273, 1.80%
2020-03,1.0,1.2700000000000005,0.65,-0.4800000000000001,0.4218181818181818, 2.25%
2020-04,-0.5,1.6985714285714286,0.05,,0.4352380952380952, 2.16%
2020-05,-0.7,1.4514999999999998,0.05,0.5,0.49950000000000006, 2.04%
2020-06,0.0,1.2050000000000005,0.08,0.53,0.5449999999999999, 1.92%
2020-07,0.5,1.1686363636363635,0.09,0.44,0.4718181818181818, 1.85%
2020-08,0.9,1.0280952380952382,0.1,0.5,0.5104761904761905, 1.74%
2020-09,1.0,1.050952380952381,0.09,0.55,0.5452380952380953, 1.75%
2020-10,0.8,1.0852380952380953,0.09,0.67,0.6404761904761905, 1.72%
2020-11,0.9,0.9936842105263157,0.09,0.71,0.7042105263157895, 1.65%
2020-12,1.1,0.9031818181818181,0.09,0.76,0.7940909090909092, 1.58%
2021-01,1.2,0.7926315789473684,0.09,0.9400000000000001,0.9489473684210527, 1.53%
2021-02,1.6,0.7210526315789478,0.08,1.15,1.1447368421052633, 1.49%
2021-03,2.8,0.7073913043478262,0.07,1.51,1.4630434782608697, 1.47%
2021-04,4.8,0.7047619047619049,0.07,1.5299999999999998,1.4768181818181818, 1.39%
2021-05,5.9,0.6639999999999997,0.06,1.52,1.465, 1.39%
2021-06,6.3,0.658181818181818,0.08,1.43,1.3172727272727274, 1.37%
2021-07,6.2,0.6757142857142855,0.1,1.22,1.1004761904761906, 1.34%
2021-08,6.1,0.6913636363636362,0.09,1.18,1.0627272727272727, 1.32%
2021-09,6.1,0.7009523809523812,0.08,1.27,1.129047619047619, 1.33%
2021-10,7.1,0.6700000000000002,0.08,1.47,1.1875, 1.34%
2021-11,7.8,0.659,0.08,1.42,1.052, 1.29%
2021-12,8.0,0.6519047619047618,0.08,1.3,0.7899999999999999, 1.29%
2022-01,8.5,0.6510000000000002,0.08,1.54,0.7795000000000001, 1.33%
2022-02,8.9,0.7173684210526317,0.08,1.5499999999999998,0.49473684210526314, 1.39%
2022-03,9.8,0.8613043478260871,0.2,1.4,0.22043478260869542, 1.41%
2022-04,9.3,0.8949999999999996,0.33,1.8399999999999999,0.2120000000000002, 1.43%
2022-05,9.6,0.9819047619047623,0.77,1.5699999999999998,0.2833333333333332, 1.57%
2022-06,10.1,1.0319047619047617,1.21,1.27,0.1419047619047622, 1.64%
2022-07,9.3,1.1555,1.68,0.3999999999999999,-0.13600000000000012, 1.65%
2022-08,8.8,1.0830434782608696,2.33,0.14000000000000012,-0.3500000000000001, 1.56%
2022-09,8.7,1.106190476190476,2.56,0.31000000000000005,-0.33666666666666645, 1.70%
2022-10,8.0,1.1575000000000002,3.08,0.1299999999999999,-0.395, 1.77%
2022-11,7.1,1.1685,3.78,-0.5699999999999998,-0.6134999999999997, 1.69%
2022-12,6.1,1.1652380952380952,4.1,-0.8899999999999997,-0.6685714285714282, 1.71%
2023-01,6.0,1.1025,4.33,-1.0800000000000005,-0.6775000000000007, 1.70%
2023-02,5.3,1.03,4.57,-0.9900000000000002,-0.7836842105263155, 1.66%
2023-03,3.9,1.1182608695652174,4.65,-1.25,-0.6426086956521733, 1.72%
2023-04,3.8,1.0678947368421052,4.83,-1.5700000000000003,-0.556, 1.66%
2023-05,2.7,1.0990909090909093,5.06,-1.5800000000000005,-0.561818181818182, 1.65%
2023-06,1.4,1.1038095238095242,5.08,-1.4699999999999998,-0.8895238095238094, 1.58%
2023-07,1.7,1.0775000000000001,5.12,-1.4499999999999997,-0.9285000000000001, 1.53%
2023-08,2.5,1.0647826086956522,5.33,-1.2700000000000005,-0.7317391304347822, 1.56%
2023-09,2.6,1.0295,5.33,-1.1100000000000003,-0.6420000000000003, 1.57%
2023-10,2.1,1.0152380952380953,5.33,-0.6600000000000001,-0.2676190476190481, 1.64%
2023-11,2.1,1.01,5.33,-0.9100000000000001,-0.38238095238095227, 1.57%
2023-12,2.5,0.9029999999999998,5.33,-1.3000000000000007,-0.4370000000000003, 1.50%
2024-01,2.3,0.809047619047619,5.33,-1.2000000000000002,-0.26285714285714334, 1.47%
2024-02,2.2,0.7405,5.33,-1.0099999999999998,-0.33399999999999963, 1.41%
2024-03,2.4,0.7460000000000001,5.33,-1.08,-0.3780000000000001, 1.37%
2024-04,2.0,0.7236363636363636,5.33,-0.79,-0.333181818181818, 1.40%
2024-05,2.0,0.698181818181818,5.33,-0.8499999999999996,-0.376363636363636, 1.37%
2024-06,1.8,0.6915789473684211,5.33,-0.9700000000000006,-0.4268421052631579, 1.33%
2024-07,1.7,0.7181818181818181,5.33,-1.0599999999999996,-0.24590909090909108, 1.31%
2024-08,1.3,0.7377272727272727,5.33,-1.25,-0.09545454545454524, 1.33%
2024-09,1.6,0.7350000000000001,4.83,-1.1400000000000001,0.09750000000000014, 1.30%
2024-10,1.9,0.6840909090909092,4.83,-0.5200000000000005,0.12772727272727247, 1.28%
2024-11,2.3,0.6405263157894737,4.58,-0.16999999999999993,0.10263157894736885, 1.25%
2024-12,2.6,0.6047619047619047,4.33,-0.07000000000000028,0.1642857142857146, 1.24%
2025-01,3.000483,0.6138095238095239,4.33,0.2999999999999998,0.35809523809523824, 1.26%
2025-02,2.821549,0.6026315789473685,4.33,0.11000000000000032,0.2400000000000002, 1.25%
2025-03,2.390725,0.6428571428571426,4.33,-0.009999999999999787,0.31000000000000005, 1.34%
2025-04,2.311289,0.730952380952381,4.33,-0.040000000000000036,0.5023809523809528, 1.43%
2025-05,2.354897,0.7428571428571427,4.33,0.1299999999999999,0.5000000000000004, 1.32%
2025-06,2.669213,0.6875,4.33,0.07000000000000028,0.49099999999999966, 1.28%
2025-07,2.704902,0.6477272727272727,4.33,0.10999999999999943,0.5077272727272724, 1.23%
2025-08,2.916174,0.6442857142857141,4.33,0.040000000000000036,0.5561904761904759, 1.22%
2025-09,3.012677,0.621904761904762,4.09,0.020000000000000462,0.5514285714285716, 1.19%
2025-10,,0.6081818181818184,4.058889,0.07999999999999963,0.5386363636363631, 1.17%
2025-11,2.735085,0.5961111111111113,3.882727,0.22999999999999998,0.54, 1.17%
2025-12,2.677081,0.5872727272727274,3.64,0.39999999999999947,0.6390909090909092, 1.15%
2026-01,2.386431,0.5359999999999998,3.64,0.5800000000000001,0.673, 1.14%
2026-02,2.414113,0.5089473684210526,3.64,0.46999999999999975,0.6584210526315784, 1.14%
2026-03,3.25642,0.5513636363636363,3.64,0.56,0.5354545454545456, 1.19%
2026-04,3.810845,0.6066666666666665,3.64,0.5500000000000003,0.5209090909090914, 1.13%
